Species,ID,Geno.pheno,Date.1,SVL.1.mm,Mass.1.g,SVL.2.mm,Mass.2.g,Day.difference,Dead(Y/N),Growth.rate(SVL),Growth.rate(mass)
Pogona,4423,ZWf,2/1/21,44,2.912,47,7.156,69,Alive,0.043478261,0.061507246
Pogona,302,ZZf,17/12/20,45,2.5335,61,,53,Alive,0.301886792,
Pogona,3425,ZZm,23/2/21,48,3.7415,,,,Dead,,
Bassiana,464,XXf,15/3/21,26,0.42,,,,Dead,,
Bassiana,425_C,XXf,15/3/21,27,0.394,,,,Dead,,
Bassiana,415,XXm,28/3/21,26,0.488,,,,Dead,,
Bassiana,424,XXm,15/3/21,29,0.5125,,,,Dead,,
Bassiana,577,XXm,29/3/21,NA,0.388,,,,Dead,,
Pogona,125,ZWf,23/2/21,48,2.8855,,,,Dead,,
Pogona,1222,ZWf,23/2/21,47,3.008,,,,Dead,,
Pogona,3125,ZWf,6/12/20,44,2.7615,,,,Dead,,
Pogona,4530,ZWf,2/1/21,40,1.943,,,,Dead,,
Pogona,5113,ZWf,6/12/20,45,2.9245,,,,Dead,,
Pogona,510,ZZf,11/1/21,44,2.3275,,,,Dead,,
Pogona,1205,ZZf,16/12/20,46,2.85,,,,Dead,,
Pogona,2001,ZZf,30/1/21,48,3.085,,,,Dead,,
Pogona,4015,ZZf,23/2/21,45,3.457,,,,Dead,,
Pogona,4315,ZZf,30/1/21,44,2.6095,,,,Dead,,
Pogona,4505,ZZf,6/12/20,43,2.9855,,,,Dead,,
Pogona,4531,ZZf,25/2/21,47,2.8855,,,,Dead,,
Pogona,2210,ZZm,23/2/21,45,2.5315,,,,Dead,,
